;COUNTRY;SORT_ART_NR;ART_NAME;URL;Supplier;Suppl. Product code;EAN;COMPETITOR;SKU_ID;SORT_EAN_NR;ART_NAME;PACKAGE_PRICE;UNIT_PRICE;PROMO_PRICE;QTY_FACTOR_PACKAGE_PRICE;URL;MATCH_TYPE_FLAG;QLTY_FACTOR_PACKAGE_PRICE;MATCH_SOURCE;MATCH_OWNER;CRAWLING_TIMESTAMP;COMMENTS
234;CZ;3541349;Ventil     odvzduš.   Automat               1/2;;Guvex;140833;8590391140833;Hornbach;4602995;;"Automatický odvzdušňovací ventil 1/2"" hydroskopický";129;129;;1;;1;;;;;
236;CZ;3541398;Mosaz      Redukce                          3/4x1/2;;Guvex;140987;8590391140987;Hornbach;5240304;;"Redukce 6hran vnější-vnitřní závit 3/4""x1/2"" mosaz";27;27;;1;;3;;;;;
238;CZ;3541422;Hadičník   mosaz                            1/2x14;;Guvex;141014;8590391141014;Hornbach;7154589;;"Hadičník 1/2""x12M";44;44;;1;;2;;;;;
240;CZ;3541430;Hadičník   mosaz                            3/4x20;;Guvex;141021;8590391141021;Hornbach;7154590;;"Hadičník 3/4""x20M";52;52;;1;;2;;;;;
242;CZ;3541497;Mosaz      Víčko                            1/2;;Guvex;141311;8590391141311;Hornbach;5241454;;"Víčko 6hran 1/2"" mosaz";19;19;;1;;2;;;;;
244;CZ;3541505;Mosaz      Víčko                            3/4;;Guvex;141328;8590391141328;Hornbach;5241455;;"Víčko 6hran 3/4"" mosaz";36;36;;1;;2;;;;;
246;CZ;3541521;Mosaz      Redukce    FEMA                  1/2x3/8;;Guvex;141427;8590391141427;Hornbach;;;;;;;;;;;;;;
248;CZ;3541539;Mosaz      Redukce    FEMA                  3/4x1/2;;Guvex;141434;8590391141434;Hornbach;;;;;;;;;;;;;;
250;CZ;3541554;Mosaz      Zátka                            1/2;;Guvex;141458;8590391141458;Hornbach;5241454;;"Víčko 6hran 1/2"" mosaz";19;19;;1;;2;;;;;
252;CZ;3541588;Mosaz      T - kus                          3/8;;Guvex;141489;8590391141489;Hornbach;5240335;;"T-kus 3xvnitřní závit 3/8""x3/8""x3/8"" mosaz";43;43;;1;;2;;;;;
254;CZ;3541604;Prodlouž.                         1/2 x 15;;Guvex;141588;8590391141588;Hornbach;7154565;;"Prodloužení 1/2""x15 mm chrom";29;29;;1;;2;;;;;
256;CZ;3541620;Prodlouž.  1/2 x 40                         ;;Guvex;141601;8590391141601;Hornbach;7154569;;"Prodloužení 1/2""x40 mm chrom";59;59;;1;;2;;;;;
258;CZ;3541737;Redukce    FEMA                   3/4x1/2;;Guvex;141793;8590391141793;Hornbach;;;;;;;;;;;;;;
260;CZ;3541752;Zátka      1/2                              1/2;;Guvex;141816;8590391141816;Hornbach;7154581;;"Zátka 6hran 1/2"" mosaz chrom";28;28;;1;;2;;;;;
262;CZ;3541844;Mosaz      T - kus                          3/4;;Guvex;141502;8590391141502;Hornbach;5240337;;"T-kus 3xvnitřní závit 3/4""x3/4""x3/4"" mosaz";82;82;;1;;2;;;;;
264;CZ;3541851;Mosaz      T - kus                          1;;Guvex;141519;8590391141519;Hornbach;5240338;;"T-kus 3xvnitřní závit 1""x1""x1"" mosaz";154;154;;1;;2;;;;;
266;CZ;3541869;Mosaz      Koleno                FF         1/2;;Guvex;141526;8590391141526;Hornbach;5240322;;"Koleno 2xvnitřní závit 1/2""x1/2"" mosaz";54;54;;1;;2;;;;;
268;CZ;3541893;Mosaz      Koleno                MF         3/4;;Guvex;141557;8590391141557;Hornbach;5240330;;"Koleno s lemem vnější-vnitřní závit 3/4""x3/4"" mosaz";114;114;;1;;4;;;;;
270;CZ;3541943;Prodlouž.  3/4 x 50                         ;;Guvex;141687;8590391141687;Hornbach;5241482;;"Prodloužení 3/4""x50 mm mosaz chrom";87;87;;1;;2;;;;;
272;CZ;3541968;Víčko      3/4                              ;;Guvex;141700;8590391141700;Hornbach;7154586;;"Víčko 6hran 3/4"" mosaz chrom";38;38;;1;;2;;;;;
274;CZ;3542024;Chróm      T - kus    1/2                   1/2;;Guvex;141847;8590391141847;Hornbach;5240179;;"T-kus 1/2"" chrom";66;66;;1;;2;;;;;
276;CZ;3542065;Chróm      Koleno     1/2 MF                1/2 MF;;Guvex;141885;8590391141885;Hornbach;5240174;;"Koleno 90° vnitřní-vnější závit 1/2"" chrom";49;49;;1;;2;;;;;
278;CZ;3542131;Mosaz      T - kus               MMM        1/2;;Guvex;142240;8590391142240;Hornbach;5241451;;"T-kus 3xvnější závit 1/2""x1/2""x1/2""mosaz";52;52;;1;;2;;;;;
280;CZ;3542321;Mosaz      Redukce                          1 x 1/2;;Guvex;143292;8590391143292;Hornbach;5240305;;"Redukce 6hran vnější-vnitřní závit 1""x1/2"" mosaz";59;59;;1;;2;;;;;
